,Player,Age,League,Club,Position,Value,Overall,Shooting,Passing,Dribbling,Defending,Physical
907,German Pezzella,31,La Liga,Real Betis Balompié,Defender,0.0,76.14,54.11,75.33,62.18,85.33,81.7
908,Andre Bukia,27,Primeira Liga,FC Arouca,Attack,-50000.0,35.19,36.22,32.13,37.51,24.9,34.89
909,Henrique Jocu,20,Primeira Liga,Portimonense SC,midfield,-50000.0,31.58,29.31,28.4,32.97,21.03,35.65
910,Tiago Araujo,21,Primeira Liga,GD Estoril Praia,Attack,-50000.0,58.03,58.06,50.91,60.49,35.81,62.66
911,Mickael Tirpan,28,Super Lig ,Kasimpasa,midfield,-50000.0,15.33,9.02,12.31,11.11,24.63,13.28
912,Ivanildo Fernandes,26,Primeira Liga,FC Vizela,Defender,-100000.0,44.06,34.32,29.65,38.77,31.77,71.37
913,Miguel Baeza,22,La Liga,Celta de Vigo,midfield,-100000.0,51.11,47.57,48.47,54.31,28.68,54.11
914,Ilija Vukotic,23,Primeira Liga,Boavista FC,midfield,-100000.0,30.27,27.22,29.53,32.32,16.4,32.02
915,Christopher Trimmel,35,Bundesliga,1.FC Union Berlin,Defender,-100000.0,71.5,43.44,64.87,55.67,82.37,83.09
916,Luquinha,21,Primeira Liga,Portimonense SC,midfield,-100000.0,45.78,40.0,53.01,47.09,30.9,43.03
917,Leonardo Ruiz,26,Primeira Liga,Rio Ave FC,Attack,-100000.0,58.43,64.2,46.9,58.91,31.1,63.73
918,Marcin Listkowski,24,Serie A,US Lecce,midfield,-100000.0,11.09,9.02,13.51,11.58,6.73,10.23
919,Cristian Gamboa,32,Bundesliga,VfL Bochum,Defender,-100000.0,72.52,32.52,68.9,40.49,86.4,94.31
920,Rafael Martins,33,Primeira Liga,Casa Pia AC,Attack,-100000.0,59.86,65.89,47.09,60.71,31.25,65.76
921,Nino Galovic,30,Primeira Liga,FC Arouca,Defender,-150000.0,50.44,32.52,30.03,37.58,39.01,92.65
922,Joao Carlos,27,Primeira Liga,GD Estoril Praia,Attack,-150000.0,51.11,54.61,39.97,53.01,28.08,56.85
923,Filipe Ferreira,31,Primeira Liga,Boavista FC,Defender,-150000.0,34.68,10.82,25.9,18.49,30.61,63.71
924,Federico Fazio,35,Serie A,US Salernitana 1919,Defender,-200000.0,60.16,27.46,58.78,28.37,71.78,81.7
925,Clement Grenier,31,La Liga,RCD Mallorca,midfield,-200000.0,48.62,45.26,44.54,50.73,36.63,53.97
926,Manuel Gulde,31,Bundesliga,SC Freiburg,Defender,-200000.0,64.11,45.63,57.31,30.45,70.31,83.18
927,Federico Di Francesco,28,Serie A,US Lecce,Attack,-200000.0,80.94,82.28,64.49,85.58,48.61,91.39
928,Philippe Sandler,25,Eredivisie,NEC Nijmegen,Defender,-200000.0,50.76,40.75,37.74,43.0,46.22,73.05
929,Robert Bozenik,22,Primeira Liga,Boavista FC,Attack,-200000.0,54.7,56.45,47.91,56.65,29.36,57.81
930,Matus Bero,26,Bundesliga,VfL Bochum,midfield,-200000.0,72.92,72.72,63.88,75.67,48.51,79.39
931,Pedro Obiang,30,Serie A,US Sassuolo,midfield,-200000.0,38.7,36.07,31.61,39.16,36.59,42.97
932,Pedro Sa,28,Primeira Liga,CF Estrela Amadora SAD,midfield,-200000.0,29.87,27.05,27.17,30.77,22.91,34.48
933,Dyego Sousa,32,Ligue 1,UD Almería,Attack,-200000.0,46.12,43.11,42.87,49.15,31.66,49.35
934,Jose Pozo,26,La Liga,Rayo Vallecano,midfield,-200000.0,31.53,15.78,57.53,34.78,10.09,18.04
935,Carlos Dominguez,21,La Liga,Celta de Vigo,Defender,-200000.0,40.59,3.97,47.34,4.06,60.34,50.63
936,Bruno Martins Indi,30,Eredivisie,AZ Alkmaar,Defender,-200000.0,21.23,5.41,10.8,7.81,11.77,54.55
937,Tony Jantschke,32,Bundesliga,Borussia Mönchengladbach,Defender,-200000.0,48.12,12.62,51.06,14.2,64.06,63.17
938,Kevin Zohi,25,Primeira Liga,FC Vizela,Attack,-200000.0,60.05,58.95,54.99,63.94,38.09,62.33
939,Diogo Pinto,23,Primeira Liga,Casa Pia AC,midfield,-200000.0,41.97,36.39,44.92,44.74,28.25,41.8
940,Inigo Cordoba,25,Eredivisie,Fortuna Sittard,Attack,-200000.0,73.24,74.04,58.24,74.31,64.66,79.93
941,Andres Martin,23,La Liga,Rayo Vallecano,Attack,-200000.0,23.71,18.34,28.2,24.4,20.61,21.65
942,Luis Santos,22,Primeira Liga,Boavista FC,Attack,-250000.0,19.44,18.65,17.61,20.15,11.53,21.36
943,Sandro Cruz,21,Primeira Liga,GD Chaves,Defender,-250000.0,46.35,21.81,33.45,30.81,42.36,78.8
944,Simone Romagnoli,32,Serie A,US Lecce,Defender,-250000.0,50.44,10.82,57.76,12.17,70.76,61.09
945,Jo,27,Primeira Liga,GD Chaves,Attack,-275000.0,47.7,47.47,42.56,49.53,27.66,51.23
946,Adam Smith,31,Premier League,AFC Bournemouth,Defender,-300000.0,81.34,64.96,72.5,74.96,82.5,95.42
947,Sean Klaiber,28,Eredivisie,FC Utrecht,Defender,-300000.0,68.92,50.98,57.87,61.33,64.05,92.42
948,Pedrao,25,Primeira Liga,Portimonense SC,Defender,-300000.0,61.03,54.57,50.98,59.6,54.34,75.61
949,Carel Eiting,24,Eredivisie,FC Volendam,midfield,-300000.0,82.66,80.64,76.89,85.78,57.66,87.33
950,Liam Henderson,26,Serie A,FC Empoli,midfield,-300000.0,58.68,54.41,55.27,60.93,31.72,64.1
951,Luca Pfeiffer,25,Bundesliga,VfB Stuttgart,Attack,-300000.0,45.36,40.65,45.64,47.45,22.91,47.7
952,Leo Leroy,22,Ligue 1,Montpellier HSC,midfield,-300000.0,64.3,58.95,53.95,65.57,62.28,70.41
953,Nicolas Janvier,23,Super Lig ,Alanyaspor,midfield,-300000.0,45.83,44.04,44.59,47.02,30.1,47.67
954,Abdon Prats,29,La Liga,RCD Mallorca,Attack,-300000.0,57.97,65.27,43.02,59.4,31.01,64.2
955,Bruno Jordao,23,Premier League,Wolverhampton Wanderers,midfield,-300000.0,28.69,27.44,29.69,28.88,21.64,28.73
956,Sven Michel,32,Bundesliga,FC Augsburg,Attack,-300000.0,50.07,52.43,44.09,51.64,29.72,52.11
957,Angelo Ogbonna,34,Premier League,West Ham United,Defender,-300000.0,63.61,27.05,62.8,31.3,75.8,84.53
958,Demba Seck,21,Serie A,Torino FC,Attack,-300000.0,43.79,40.8,41.35,46.73,26.15,46.3
959,Martin Montoya,31,La Liga,Real Betis Balompié,Defender,-300000.0,55.42,9.02,73.6,12.93,73.6,61.53
960,Nikolas Nartey,22,Bundesliga,VfB Stuttgart,midfield,-300000.0,23.75,18.04,23.34,22.98,26.41,22.28
961,Abdou Harroui,24,Serie A,Frosinone Calcio,midfield,-300000.0,53.87,57.23,46.36,54.65,28.88,57.24
962,Denso Kasius,19,Eredivisie,AZ Alkmaar,Defender,-300000.0,43.85,10.82,37.35,22.75,52.14,63.19
963,Tolga Cigerci,30,Super Lig ,MKE Ankaragücü,midfield,-400000.0,32.78,22.99,32.25,29.04,40.86,28.95
964,Johan Vasquez,23,Serie A,Genoa CFC,Defender,-400000.0,78.19,46.68,82.23,50.79,95.23,84.52
965,Danilo Soares,30,Bundesliga,VfL Bochum,Defender,-400000.0,73.15,39.68,81.33,48.36,81.33,81.58
966,Ashley Young,37,Premier League,Everton FC,Defender,-400000.0,74.23,53.54,80.44,60.89,80.44,75.16
967,Carlinhos,28,Primeira Liga,Portimonense SC,midfield,-400000.0,27.17,18.58,26.88,23.8,34.88,23.11
968,Marco D'Alessandro,31,Serie A,AC Monza,Attack,-400000.0,21.01,15.95,26.03,22.25,14.95,19.78
969,Jeffrey Gouweleeuw,31,Bundesliga,FC Augsburg,Defender,-500000.0,75.07,56.05,66.95,65.82,84.45,83.04
970,Asier Villalibre,24,La Liga,Athletic Bilbao,Attack,-500000.0,14.46,9.29,23.21,15.1,6.43,10.23
971,Mattia Valoti,28,Serie A,AC Monza,midfield,-500000.0,35.68,33.9,31.38,36.9,24.47,40.54
972,Ruben Alcaraz,31,La Liga,Cádiz CF,midfield,-500000.0,70.4,69.91,58.19,72.65,47.89,80.85
973,Elvis Rexhbecaj,24,Bundesliga,FC Augsburg,midfield,-500000.0,69.4,67.86,53.66,70.7,59.4,79.62
974,Grischa Promel,27,Bundesliga,TSG 1899 Hoffenheim,midfield,-500000.0,40.7,40.95,33.76,41.25,31.17,46.84
975,Jean-Charles Castelletto,27,Ligue 1,FC Nantes,Defender,-500000.0,65.36,56.01,52.45,64.64,59.34,81.47
976,Alberto Grassi,27,Serie A,FC Empoli,midfield,-500000.0,55.64,54.27,42.06,56.51,48.56,63.21
977,Wesley Said,27,Ligue 1,RC Lens,Attack,-500000.0,53.72,56.28,49.28,57.42,26.69,51.89
978,Liberato Cacace,21,Serie A,FC Empoli,Defender,-500000.0,65.69,19.93,71.57,30.54,84.57,76.08
979,Jean-Eudes Aholou,28,Ligue 1,RC Strasbourg Alsace,midfield,-500000.0,69.19,73.19,55.95,70.09,43.79,77.53
980,Roberto Piccoli,21,Serie A,FC Empoli,Attack,-500000.0,31.95,36.87,27.29,32.9,16.01,30.74
981,Rogerio,24,Serie A,US Sassuolo,Defender,-500000.0,76.79,63.28,64.53,76.05,74.53,92.03
982,Sebastian Rode,31,Bundesliga,Eintracht Frankfurt,midfield,-500000.0,66.58,81.54,52.28,63.53,40.52,68.99
983,Maximilian Wittek,26,Eredivisie,Vitesse Arnhem,Defender,-500000.0,75.63,57.0,79.56,72.27,67.96,82.72
984,Damian Suarez,34,La Liga,Getafe CF,Defender,-500000.0,74.47,55.68,68.03,59.51,78.03,92.3
985,Oier Zarraga,23,Serie A,Udinese Calcio,midfield,-500000.0,59.82,56.63,54.49,62.25,37.09,65.9
986,Paul Akouokou,24,La Liga,Real Betis Balompié,midfield,-500000.0,32.51,24.91,18.99,25.68,48.13,31.3
987,Ben Mee,32,Premier League,Brentford FC,Defender,-500000.0,79.44,69.83,69.09,75.04,79.09,93.8
988,Fali,28,La Liga,Cádiz CF,Defender,-500000.0,66.84,43.29,61.68,49.97,71.68,84.01
989,Yann Karamoh,24,Serie A,Torino FC,Attack,-500000.0,52.49,56.72,46.46,54.91,25.59,51.86
990,Julien Laporte,28,Ligue 1,FC Lorient,Defender,-500000.0,49.23,34.38,32.22,39.52,52.73,70.28
991,Andre Ramalho,30,Eredivisie,PSV Eindhoven,Defender,-500000.0,61.61,48.77,46.04,56.38,50.7,90.58
992,Rafael Brito,20,Primeira Liga,Casa Pia AC,midfield,-500000.0,35.76,27.05,32.77,32.08,43.08,35.11
993,Juan Jesus,31,Serie A,SSC Napoli,Defender,-500000.0,70.07,33.58,75.24,31.17,88.24,83.22
994,Unai Lopez,26,La Liga,Rayo Vallecano,midfield,-500000.0,79.37,76.98,71.95,82.69,47.05,85.86
995,Jeremy Toljan,27,Serie A,US Sassuolo,Defender,-500000.0,73.07,54.11,69.85,63.94,79.85,78.62
996,Youssef Maleh,23,Serie A,US Lecce,midfield,-500000.0,17.96,13.53,22.93,18.25,9.17,17.12
997,Mats Hummels,33,Bundesliga,Borussia Dortmund,Defender,-500000.0,77.55,54.94,76.1,62.84,93.6,77.66
998,Robert Skov,26,Bundesliga,TSG 1899 Hoffenheim,midfield,-500000.0,55.28,52.79,53.42,57.45,35.85,57.47
999,Gonzalo Escalante,29,La Liga,Cádiz CF,midfield,-500000.0,40.98,45.66,33.04,36.57,44.46,37.24
1000,Giacomo Bonaventura,32,Serie A,ACF Fiorentina,midfield,-500000.0,73.22,71.79,67.47,76.15,60.4,77.45
1001,Javier Manquillo,28,Premier League,Newcastle United,Defender,-500000.0,54.02,5.41,63.89,17.47,76.89,57.85
1002,Ibrahima Kone,23,Ligue 1,FC Lorient,Attack,-500000.0,84.2,91.56,65.35,86.42,47.02,93.44
1003,Uros Racic,24,La Liga,Valencia CF,midfield,-500000.0,57.11,54.66,50.98,59.68,38.28,63.15
1004,Atakan Karazor,25,Bundesliga,VfB Stuttgart,midfield,-500000.0,65.09,63.12,49.41,66.08,55.65,75.5
1005,Aridane Hernandez,33,La Liga,Rayo Vallecano,Defender,-500000.0,72.08,39.73,75.84,46.09,88.84,77.54
1006,Iddrisu Baba,26,La Liga,RCD Mallorca,midfield,-500000.0,62.1,63.22,45.93,64.74,46.5,73.93
1007,Patric,29,Serie A,SS Lazio,Defender,-500000.0,73.16,30.72,77.23,35.24,90.23,89.92
1008,Raul Albiol,36,La Liga,Villarreal CF,Defender,-500000.0,66.53,43.33,61.31,49.7,71.31,83.8
1009,Alvaro Negredo,36,La Liga,Cádiz CF,Attack,-500000.0,49.71,48.26,45.2,53.64,29.71,51.76
1010,Borja Garcia,31,La Liga,Girona FC,midfield,-500000.0,28.91,29.83,29.8,29.28,15.65,26.74
1011,Stefan Bell,30,Bundesliga,1.FSV Mainz 05,Defender,-500000.0,71.17,52.38,64.72,60.39,82.22,77.33
1012,Gabriel Vidovic,18,Bundesliga,Bayern Munich,Attack,-500000.0,60.86,64.37,53.89,63.24,32.18,61.96
1013,Mostafa Mohamed,24,Ligue 1,FC Nantes,Attack,-500000.0,80.88,87.78,61.58,83.95,48.45,90.22
1014,Delano Burgzorg,23,Bundesliga,1.FSV Mainz 05,Attack,-500000.0,30.47,27.26,29.44,33.35,20.68,31.82
1015,Henrique Araujo,20,Primeira Liga,SL Benfica,Attack,-500000.0,14.12,9.29,22.19,14.75,6.43,10.23
1016,Mihailo Ristic,26,Primeira Liga,SL Benfica,Defender,-500000.0,33.38,21.59,30.81,20.48,15.79,60.65
1017,Jhonder Cadiz,27,Primeira Liga,FC Famalicão,Attack,-500000.0,56.62,58.22,49.88,58.25,29.77,60.12
1018,Emil Bohinen,23,Serie A,US Salernitana 1919,midfield,-600000.0,53.5,51.85,46.3,55.96,41.74,59.9
1019,Manu Vallejo,25,La Liga,Girona FC,Attack,-600000.0,23.85,13.72,37.42,28.47,10.13,15.79
1020,Ondrej Duda,27,Serie A,Hellas Verona,midfield,-600000.0,35.54,31.98,31.99,36.15,34.88,39.15
1021,Giangiacomo Magnani,26,Serie A,Hellas Verona,Defender,-600000.0,69.6,41.53,67.99,49.4,77.99,83.01
1022,Petar Stojanovic,26,Serie A,FC Empoli,Defender,-700000.0,74.74,47.0,70.14,59.49,80.14,89.2
1023,Leonardo Bittencourt,28,Bundesliga,SV Werder Bremen,midfield,-700000.0,59.6,61.19,50.66,59.91,49.38,66.62
1024,Eduard Sobol,27,Ligue 1,RC Strasbourg Alsace,Defender,-700000.0,48.0,25.25,35.54,33.71,38.27,84.46
1025,James Tomkins,33,Premier League,Crystal Palace,Defender,-700000.0,48.48,23.2,46.23,10.14,59.23,65.25
1026,Rui Fonte,32,Primeira Liga,FC Famalicão,Attack,-700000.0,41.75,45.74,34.47,42.09,27.0,44.69
1027,Ruben Lameiras,27,Primeira Liga,Vitória Guimarães SC,Attack,-700000.0,47.74,41.54,50.0,51.03,30.19,48.39
1028,Hidde ter Avest,25,Eredivisie,FC Utrecht,Defender,-700000.0,52.0,34.43,43.38,43.68,50.84,70.11
1029,Papa Ndiaga Yade,22,Ligue 1,FC Metz,Attack,-800000.0,35.96,29.6,39.79,38.1,25.08,36.34
1030,Marcus Coco,26,Ligue 1,FC Nantes,Attack,-800000.0,61.14,63.61,53.0,62.67,41.02,65.3
1031,Thomas Delaine,30,Ligue 1,RC Strasbourg Alsace,Defender,-800000.0,51.09,29.12,37.99,37.78,39.18,89.43
1032,Siriki Dembele,25,Premier League,AFC Bournemouth,Attack,-800000.0,35.53,25.03,48.31,39.43,20.06,29.37
1033,Lebo Mothiba,26,Ligue 1,RC Strasbourg Alsace,Attack,-800000.0,45.55,58.1,33.79,44.21,22.9,46.08
1034,Ze Carlos,20,Primeira Liga,Gil Vicente FC,Defender,-800000.0,49.94,25.32,38.24,34.09,43.55,83.87
1035,Joel Ward,32,Premier League,Crystal Palace,Defender,-800000.0,72.92,54.12,71.31,56.79,71.31,92.27
1036,Matt Ritchie,32,Premier League,Newcastle United,midfield,-800000.0,17.97,13.53,24.11,18.67,11.08,15.57
1037,Patrick Herrmann,31,Bundesliga,Borussia Mönchengladbach,Attack,-800000.0,52.06,53.96,49.9,52.45,27.43,51.94
1038,Marco Benassi,27,Serie A,ACF Fiorentina,midfield,-900000.0,38.81,32.3,32.14,35.98,48.34,38.61
1039,Luca Kilian,22,Bundesliga,1.FC Köln,Defender,-1000000.0,72.81,37.37,75.58,32.24,88.58,89.72
1040,Alex Collado,23,La Liga,FC Barcelona,Attack,-1000000.0,42.96,37.61,49.87,44.27,34.24,40.07
1041,Maxime Busi,22,Ligue 1,Stade Reims,Defender,-1000000.0,49.6,36.07,41.61,44.09,38.97,73.72
1042,Adama Soumaoro,30,Serie A,Bologna FC 1909,Defender,-1000000.0,69.87,39.73,70.84,45.43,83.84,79.36
1043,Cristian Borja,29,Primeira Liga,SC Braga,Defender,-1000000.0,46.56,23.45,34.95,30.9,40.28,80.12
1044,Kevin Vogt,30,Bundesliga,TSG 1899 Hoffenheim,Defender,-1000000.0,68.67,37.87,70.42,44.35,83.42,76.48
1045,Justin Kluivert,23,Premier League,AFC Bournemouth,Attack,-1000000.0,64.23,64.27,60.18,66.49,36.71,65.96
1046,Kieffer Moore,29,Premier League,AFC Bournemouth,Attack,-1000000.0,60.7,68.18,45.42,62.0,35.25,67.19
1047,Matteo Lovato,22,Serie A,US Salernitana 1919,Defender,-1000000.0,66.91,28.86,67.24,32.45,80.24,87.7
1048,Simone Verdi,30,Serie A,Torino FC,midfield,-1000000.0,60.45,60.6,59.58,60.87,33.0,60.74
1049,Ignatius Ganago,23,Ligue 1,FC Nantes,Attack,-1000000.0,64.04,69.84,50.4,65.9,37.41,70.01
1050,Manu Morlanes,23,La Liga,RCD Mallorca,midfield,-1000000.0,33.55,32.41,22.24,27.52,42.72,31.56
1051,Jeffrey Schlupp,29,Premier League,Crystal Palace,midfield,-1000000.0,76.64,80.65,59.37,78.82,57.07,87.73
1052,Jere Uronen,28,Ligue 1,Stade Brestois 29,Defender,-1000000.0,39.81,18.04,31.33,25.48,29.62,72.79
1053,Joao Mario,29,Primeira Liga,SL Benfica,midfield,-1000000.0,83.17,83.13,79.1,85.34,48.39,85.1
1054,Eric Bailly,28,Premier League,Manchester United,Defender,-1000000.0,71.02,28.86,75.44,33.11,88.44,87.08
1055,Sanjin Prcic,28,Ligue 1,RC Strasbourg Alsace,midfield,-1000000.0,65.82,65.64,55.27,68.14,54.01,74.23
1056,Jordan Ayew,30,Premier League,Crystal Palace,Attack,-1000000.0,87.51,90.75,70.22,91.63,56.16,97.45
1057,Jonathan Clauss,29,Ligue 1,Olympique Marseille,Defender,-1000000.0,74.9,61.71,75.11,75.83,55.26,86.94
1058,Ismail Jakobs,22,Ligue 1,AS Monaco,Defender,-1000000.0,66.99,56.14,63.36,68.28,41.33,80.17
1059,Houboulang Mendes,24,Ligue 1,UD Almería,Defender,-1000000.0,42.07,23.45,26.25,28.78,32.7,80.55
1060,Matteo Gabbia,22,Serie A,AC Milan,Defender,-1000000.0,61.97,19.84,68.05,23.49,81.05,75.3
1061,Martin Hongla,24,Serie A,Hellas Verona,midfield,-1000000.0,37.96,33.82,27.45,35.7,37.11,45.21
1062,Kevin Vazquez,29,La Liga,Celta de Vigo,Defender,-1000000.0,62.31,16.23,72.68,20.3,85.68,70.61
1063,David Carmo,23,Primeira Liga,FC Porto,Defender,-1000000.0,30.51,14.55,14.27,16.79,23.98,66.7
1064,Riccardo Sottil,23,Serie A,ACF Fiorentina,Attack,-1000000.0,46.22,38.98,52.72,49.15,23.76,44.03
1065,Sergi Roberto,30,La Liga,FC Barcelona,Defender,-1000000.0,69.41,49.39,68.73,49.2,81.73,77.81
1066,Halil Dervisoglu,22,Premier League,Brentford FC,Attack,-1000000.0,33.06,0.0,71.93,58.56,1.73,0.0
1067,Jordan Veretout,29,Ligue 1,Olympique Marseille,midfield,-1000000.0,87.65,89.27,72.52,90.86,60.43,97.93
1068,Andoni Gorosabel,25,La Liga,Real Sociedad,Defender,-1000000.0,73.9,46.93,70.2,56.04,80.2,89.19
1069,Goncalo Paciencia,27,La Liga,Celta de Vigo,Attack,-1000000.0,58.19,58.54,50.14,60.96,31.06,63.1
1070,Marko Arnautovic,33,Serie A,Bologna FC 1909,Attack,-1000000.0,53.05,60.86,45.3,53.3,25.87,52.74
1071,Arber Zeneli,27,Ligue 1,Stade Reims,Attack,-1000000.0,57.06,50.13,59.2,62.18,31.87,56.72
1072,Will Hughes,27,Premier League,Crystal Palace,midfield,-1000000.0,62.38,67.51,50.71,62.98,43.27,68.3
1073,Thomas Henry,27,Serie A,Hellas Verona,Attack,-1000000.0,38.13,40.29,33.85,38.39,20.15,39.96
1074,Matteo Darmian,32,Serie A,Inter Milan,Defender,-1000000.0,77.89,59.87,78.64,64.8,88.64,79.49
1075,Bartosz Bialek,20,Jupiler Pro League,KAS Eupen,Attack,-1000000.0,59.19,62.58,50.9,61.2,34.14,62.08
1076,Kevin Bonifazi,26,Serie A,Bologna FC 1909,Defender,-1000000.0,60.57,21.64,62.81,26.14,75.81,77.53
1077,Harry Wilson,25,Premier League,Fulham FC,Attack,-1000000.0,67.64,69.15,57.59,71.31,40.67,72.49
1078,Eliot Matazo,20,Ligue 1,AS Monaco,midfield,-1000000.0,52.58,62.51,38.19,51.45,37.6,58.17
1079,Sergi Guardiola,31,La Liga,Cádiz CF,Attack,-1000000.0,31.18,29.6,27.83,32.48,20.72,34.78
1080,Jan Thielmann,20,Bundesliga,1.FC Köln,Attack,-1000000.0,56.69,57.91,51.3,59.81,28.77,57.76
1081,Andrei Girotto,30,Ligue 1,FC Nantes,Defender,-1000000.0,82.98,65.04,59.36,73.18,99.0,94.68
1082,Pedro Brazao,19,Primeira Liga,FC Famalicão,midfield,-1000000.0,22.13,11.27,36.73,23.65,14.57,13.57
1083,Yan Couto,20,Premier League,Manchester City,Defender,-1000000.0,77.74,48.69,78.67,57.24,91.67,83.37
1084,Matteo Pessina,25,Serie A,AC Monza,midfield,-1000000.0,79.97,81.65,65.08,83.19,57.38,89.97
1085,Corentin Tolisso,27,Ligue 1,Olympique Lyon,midfield,-1000000.0,71.62,67.44,67.87,74.58,51.34,76.61
1086,Luis Neto,34,Primeira Liga,Sporting CP,Defender,-1000000.0,28.41,9.02,10.08,10.8,32.85,59.9
1087,Valentino Lazaro,26,Serie A,Inter Milan,Defender,-1000000.0,69.87,39.77,68.17,52.41,81.17,77.73
1088,Anthony Martial,26,Premier League,Manchester United,Attack,-1000000.0,51.89,56.69,45.82,53.34,25.94,51.71
1089,Joe Rodon,24,Premier League,Tottenham Hotspur,Defender,-1000000.0,63.06,33.02,59.99,30.8,72.99,86.25
1090,Karim Rekik,27,La Liga,Sevilla FC,Defender,-1000000.0,64.86,32.55,64.4,32.97,77.4,84.67
1091,Yuri Berchiche,32,La Liga,Athletic Bilbao,Defender,-1000000.0,76.73,52.49,79.39,61.72,89.39,76.44
1092,Junior Sambia,25,Serie A,US Salernitana 1919,Defender,-1000000.0,69.01,38.27,69.27,49.45,82.27,75.04
1093,Iago Aspas,34,La Liga,Celta de Vigo,Attack,-1000000.0,89.18,90.37,80.56,92.4,44.6,93.39
1094,Joris Chotard,20,Ligue 1,Montpellier HSC,midfield,-1000000.0,79.51,76.69,61.07,80.88,70.09,90.39
1095,Federico Bonazzoli,25,Serie A,US Salernitana 1919,Attack,-1000000.0,54.73,55.65,46.68,57.41,28.84,59.18
1096,Paulo Oliveira,30,Primeira Liga,SC Braga,Defender,-1000000.0,48.44,34.38,31.45,39.28,47.74,72.37
1097,Pietro Pellegri,21,Serie A,Torino FC,Attack,-1000000.0,43.1,49.22,34.27,44.21,25.2,44.69
1098,Dani Garcia,32,La Liga,Athletic Bilbao,midfield,-1000000.0,60.39,54.11,45.27,57.9,64.11,65.46
1099,Nemanja Matic,33,Serie A,AS Roma,midfield,-1000000.0,81.71,86.09,67.5,84.24,56.91,89.02
1100,Frank Onyeka,24,Premier League,Brentford FC,midfield,-1000000.0,49.11,45.35,46.25,52.71,34.79,52.13
1101,Benat Turrientes,20,La Liga,Real Sociedad,midfield,-1000000.0,18.29,11.27,29.83,18.85,9.51,13.22
1102,Jesus Vallejo,25,La Liga,Real Madrid,Defender,-1000000.0,33.14,1.1,36.73,0.0,49.73,45.0
1103,Riccardo Marchizza,24,Serie A,Frosinone Calcio,Defender,-1000000.0,52.96,16.23,52.23,25.51,65.23,68.88
1104,Matheus Henrique,24,Serie A,US Sassuolo,midfield,-1000000.0,71.39,74.52,62.14,72.6,45.46,76.29
1105,Alexandre Lacazette,31,Ligue 1,Olympique Lyon,Attack,-1000000.0,84.94,92.24,71.92,86.78,46.74,88.82
1106,Mouctar Diakhaby,25,La Liga,Valencia CF,Defender,-1000000.0,83.56,56.74,84.22,58.0,97.22,94.82
1107,Steve Cook,31,Premier League,Nottingham Forest,Defender,-1000000.0,60.53,19.84,64.97,23.43,77.97,75.73
1108,Jonas Martin,32,Ligue 1,LOSC Lille,midfield,-1000000.0,28.23,24.8,29.15,29.12,22.12,29.87
1109,Dennis Geiger,24,Bundesliga,TSG 1899 Hoffenheim,midfield,-1000000.0,65.58,68.97,56.61,65.77,56.99,70.6
1110,Francesco Caputo,34,Serie A,FC Empoli,Attack,-1000000.0,34.95,34.81,32.24,36.33,18.17,36.43
1111,Fernando,35,La Liga,Sevilla FC,midfield,-1000000.0,51.46,47.34,39.07,50.04,50.48,57.95
1112,Nicolas Haas,26,Serie A,FC Empoli,midfield,-1000000.0,54.7,58.73,44.08,55.57,40.95,60.4
1113,Carles Perez,24,La Liga,Celta de Vigo,Attack,-1000000.0,81.16,80.81,67.93,86.9,51.84,88.99
1114,Pedro Chirivella,25,Ligue 1,FC Nantes,midfield,-1000000.0,59.16,56.63,52.15,62.06,43.71,65.8
1115,Craig Dawson,32,Premier League,Wolverhampton Wanderers,Defender,-1000000.0,54.91,12.76,61.84,17.53,74.84,65.43
1116,Rochinha,27,Primeira Liga,Sporting CP,Attack,-1000000.0,40.35,37.61,40.9,43.64,20.22,39.25
1117,Luis Milla,27,La Liga,Getafe CF,midfield,-1000000.0,61.97,58.67,54.32,64.3,47.44,70.59
1118,Edinson Cavani,35,La Liga,Valencia CF,Attack,-1000000.0,56.56,60.64,44.49,58.15,31.18,62.98
1119,Kaj Sierhuis,24,Ligue 1,Stade Reims,Attack,-1100000.0,31.24,29.41,29.22,32.98,17.13,33.37
1120,Lorenzo De Silvestri,34,Serie A,Bologna FC 1909,Defender,-1100000.0,60.81,33.73,57.52,31.34,70.52,81.49
1121,Osama Rashid,30,Primeira Liga,FC Vizela,midfield,-1100000.0,45.49,43.97,47.27,45.78,22.31,44.94
1122,Dominique Heintz,28,Bundesliga,1.FC Union Berlin,Defender,-1300000.0,56.55,18.14,58.92,22.4,71.92,72.94
1123,Kaan Ayhan,27,Super Lig ,Galatasaray,Defender,-1300000.0,38.64,16.34,19.37,19.92,45.45,69.81
1124,Gregoire Defrel,31,Serie A,US Sassuolo,Attack,-1500000.0,60.11,65.96,45.43,61.57,34.53,67.45
1125,Dimitri Foulquier,29,La Liga,Valencia CF,Defender,-1500000.0,71.4,52.3,68.56,62.09,78.56,76.4
1126,Thomas Meunier,30,Bundesliga,Borussia Dortmund,Defender,-1500000.0,64.71,16.23,75.68,23.51,88.68,70.97
1127,Mergim Vojvoda,27,Serie A,Torino FC,Defender,-1500000.0,82.75,50.73,79.61,65.76,92.61,93.02
1128,Ruben Vargas,23,Bundesliga,FC Augsburg,Attack,-1500000.0,55.22,57.57,48.42,57.11,32.4,57.8
